x,deltaK_shape,deltaz1_shape
7.401959996915652e-05,1.9455639770478606e-23,1.5715554011651813e-28
8.026433522257174e-05,3.163062760938411e-23,2.770564811635468e-28
8.703591361485166e-05,5.1424572932769883e-23,4.884358830225716e-28
9.437878277775391e-05,8.360537898513247e-23,8.610879115881657e-28
0.00010234114021054527,1.3592471839390526e-22,1.5180572943234689e-27
0.00011097524964120722,2.209853168815291e-22,2.676268213820393e-27
0.00012033778407775906,3.592768324117951e-22,4.7181525556576414e-27
0.00013049019780144016,5.841116857437933e-22,8.317930088527643e-27
0.00014149912974345758,9.496499253813874e-22,1.4664240531722003e-26
0.00015343684089300132,1.5439464208389899e-21,2.5852645712300125e-26
0.00016638168860761272,2.5101636866724137e-21,4.5577617193489984e-26
0.00018041864093920718,4.081061000205965e-21,8.035252756538255e-26
0.0001956398343517065,6.635069244650245e-21,1.4166053661534494e-25
0.00021214517849106276,1.0787461892194312e-20,2.4974669859798404e-25
0.0002300430119772917,1.7538589067651666e-20,4.403036563153277e-25
0.0002494508135230317,2.85148916387288e-20,7.762589676349216e-25
0.0002704959730463137,4.6360769531826094e-20,1.3685571035902137e-24
0.00029331662783900426,7.537573137395982e-20,2.4128000611410007e-24
0.0003180625692794119,1.225503631425554e-19,4.25384875651766e-24
0.000344896226040576,1.9925076987085415e-19,7.499723382377292e-24
0.0003739937302478794,3.23957436159514e-19,1.3222426047102271e-23
0.0004055460735840828,5.267185962118512e-19,2.3312023718728877e-23
0.00043976036093027214,8.563914748919252e-19,4.110096139451831e-23
0.0004768611697714474,1.3924168028564622e-18,7.246485487457088e-23
0.0005170920242896756,2.2639648737068e-18,1.2776344232436257e-22
0.0005607169938205458,3.6810686528280866e-18,2.252629812817515e-22
0.0006080224261649427,5.985249708215556e-18,3.971709139946381e-22
0.0006593188271333542,9.731843177521337e-18,7.002768983085021e-22
0.0007149428986597577,1.5823872555480405e-17,1.2347166845077814e-21
0.0007752597488629464,2.572975821885144e-17,2.1770601140838957e-21
0.0008406652885618316,4.1837365533755903e-17,3.838659424692445e-21
0.0009115888299750819,6.80297896260257e-17,6.7685448078344714e-21
0.0009884959046625587,1.1062177401958371e-16,1.1934882582196317e-20
0.0010718913192051286,1.7988268609739235e-16,2.104498916268922e-20
0.0011623224686798518,2.925135388931806e-16,3.7109715295183e-20
0.0012603829296797275,4.756758493427147e-16,6.54388411085938e-20
0.0013667163564620073,7.735447965622569e-16,1.1539670198179384e-19
0.001482020705798857,1.2579687311329368e-15,2.0349879259899237e-19
0.0016070528182616384,2.0458089374001016e-15,3.588738466437892e-19
0.0017426333860096508,3.3271474876754877e-15,6.328988116234422e-19
0.0018896523396912078,5.411177414247426e-15,1.1161955646128636e-18
0.002049074689815846,8.800863731206809e-15,1.9686158483853467e-18
0.002221946860939524,1.4314420647255886e-14,3.4721426387088545e-18
0.0024094035602395267,2.328297418936162e-14,6.124228133321756e-18
0.0026126752255633263,3.787221365723245e-14,1.0802488613191323e-17
0.002833096101839324,6.160584774352648e-14,1.9055330267163432e-17
0.003072112998861759,1.0021754965430468e-13,3.3614838420021976e-17
0.00333129478793467,1.6303765716178582e-13,5.930199112298945e-17
0.0036123426997094303,2.652505088521904e-13,1.046244494772029e-16
0.0039171014908092605,4.315694351467034e-13,1.845971031265755e-16
0.004247571552536894,7.022204110122004e-13,3.2572167263389577e-16
0.004605922041145104,1.1426859063455223e-12,5.747791284376347e-16
0.00499450511585514,1.8595740240903205e-12,1.0143563656284703e-15
0.005415871378079476,3.0264672350297808e-12,1.790268856472681e-15
0.005872786613189477,4.926033181481487e-12,3.1600008901122505e-15
0.006368249944718587,8.018640063652821e-12,5.578285949166331e-15
0.006905513520162331,1.3054179115343483e-11,9.848330059857856e-15
0.007488103857590015,2.125433771173471e-11,1.7389079417797798e-14
0.008119844993184008,3.46097719658313e-11,3.070767841414906e-14
0.008804883581643464,5.636471947513832e-11,5.423483505471396e-14
0.009547716114208066,9.180747513822746e-11,9.580220586414774e-14
0.010353218432956616,1.4956011976972663e-10,1.692558974898789e-13
0.011226677735108135,2.4368342734836523e-10,2.9908104826819886e-13
0.012173827277396621,3.971132511895756e-10,5.285874537794446e-13
0.013200884008314168,6.472724954363354e-10,9.344029869269335e-13
0.014314589375234785,1.0552393181532815e-09,1.6521444287433338e-12
0.01552225357427048,1.7207308543729804e-09,2.921902672046276e-12
0.01683180353330955,2.806601415649263e-09,5.168868398010235e-12
0.018251834943190423,4.578914435255088e-09,9.146307754269528e-12
0.019791668678535573,7.4725195616683e-09,1.6189221087720617e-11
0.021461411978584057,1.2198422869346023e-08,2.8664589486762704e-11
0.023272024789604072,1.9919680663681343e-08,5.0770985654946975e-11
0.02523539170434766,3.2539715219024354e-08,8.9959430786964e-11
0.02736439997074672,5.3175198070108436e-08,1.5945967576147022e-10
0.029673024081888665,8.693216293312745e-08,2.8277478932247914e-10
0.032176417502507354,1.421806806226297e-07,5.016830537739724e-10
0.034891012134067735,2.326499193172946e-07,8.904943450629732e-10
0.037834626171319254,3.808743074779399e-07,1.5814691277763273e-09
0.0410265810582719,6.238668576170797e-07,2.8101771134937256e-09
0.04448782831127585,1.0224672511926418e-06,4.996506642159196e-09
0.04824108704165374,1.6767592818943334e-06,8.889476771610004e-09
0.052310993080562584,2.751523236468524e-06,1.5826350901173134e-08
0.05672426068491978,4.518298173625192e-06,2.819673880292761e-08
0.06150985788580504,7.424968853181702e-06,5.0274736963175346e-08
0.06669919663030115,1.2211019524781789e-05,8.971262299162544e-08
0.07232633896483534,2.0098650115099697e-05,1.6022515616948394e-07
0.07842822061337681,3.311008072517459e-05,2.8641934977495596e-07
0.08504489341802686,5.4595039877810386e-05,5.124954850284497e-07
0.09221978823334322,9.010883185871181e-05,9.17942849743789e-07
0.1,0.00014887600000000007,1.645891666666667e-06
